Trace,0 0,0 1,0 2,0 3,1 0,1 1,1 2,1 3,2 0,2 1,2 2,2 3,3 0,3 1,3 2,3 3
client_001,559,0,0,122,129,39,0,17,52,1,47,18,0,0,0,0
client_002,9389,0,0,9864,1676,1936,0,1682,2740,9,6722,3391,0,0,0,0
client_003,26672,0,0,7076,7977,3000,0,2706,3579,108,1479,1172,0,0,0,0
client_004,75203,0,0,14278,36649,12114,0,9217,7603,178,4252,2034,0,0,0,0
client_005,25217,0,0,6754,7932,4826,0,3377,3298,180,2478,1210,0,0,0,0
client_006,669,0,0,356,614,477,0,302,207,36,228,84,0,0,0,0
client_007,4466,0,0,1236,1735,275,0,414,1281,75,389,521,0,0,0,0
client_008,10235,0,0,2435,2627,901,0,820,1488,43,493,412,0,0,0,0
server_001,4450,0,0,4387,3221,3328,0,4780,1071,6,1905,1607,0,0,0,0
server_002,45,0,0,48,97,68,0,153,201,92,36,380,0,0,0,0
server_003,67298,0,0,19622,37767,18452,0,23244,10002,68,9622,6996,0,0,0,0
server_004,38857,0,0,33055,22477,14589,0,20746,14304,100,24514,15265,0,0,0,0
server_009,23760,0,0,28649,17418,23125,0,23270,6660,52,15442,11002,0,0,0,0
server_010,18228,0,0,32907,12458,17223,0,23525,8389,106,26345,15997,0,0,0,0
server_011,38412,0,0,24254,33594,27254,0,35982,7832,29,13337,11710,0,0,0,0
server_012,20731,0,0,29631,18818,27247,0,31596,5774,203,17545,10590,0,0,0,0
server_013,27286,0,0,25255,23698,26166,0,36567,6464,106,16662,13533,0,0,0,0
server_014,225,0,0,295,233,197,0,835,253,16,377,668,0,0,0,0
server_015,52,0,0,62,106,57,0,161,215,95,35,378,0,0,0,0
server_016,8831,0,0,22331,12219,17262,0,24596,2746,2,9423,12554,0,0,0,0
server_017,35,0,0,323,2,3,0,2,126,0,184,28,0,0,0,0
server_018,57,0,0,316,6,4,0,6,168,3,162,29,0,0,0,0
server_019,81,0,0,320,23,124,0,24,142,2,55,18,0,0,0,0
server_020,65,0,0,339,4,4,0,7,138,0,212,15,0,0,0,0
server_021,35,0,0,344,3,4,0,10,136,0,190,33,0,0,0,0
server_022,73,0,0,348,13,9,0,6,167,2,189,32,0,0,0,0
server_023,10873,0,0,24735,16724,25373,0,44555,2994,1,10807,13369,0,0,0,0
server_024,10312,0,0,29757,15614,24040,0,37387,3734,1,13388,18143,0,0,0,0
server_025,5382,0,0,53262,4593,10495,0,15265,7015,1,31751,32932,0,0,0,0
server_026,6105,0,0,58330,4349,9832,0,18672,8193,0,33654,35843,0,0,0,0
server_027,5620,0,0,61347,4527,10889,0,15826,8339,0,35213,35742,0,0,0,0
server_028,2439,0,0,27929,597,1404,0,12198,5306,0,8049,20385,0,0,0,0
server_029,2378,0,0,32452,576,1936,0,5317,5636,0,7481,24916,0,0,0,0
server_030,2796,0,0,35788,445,989,0,9679,6041,0,12269,28190,0,0,0,0
server_031,2652,0,0,31238,923,1577,0,10732,6015,2,6895,22520,0,0,0,0
server_032,24,0,0,32526,25,148,0,3325,6878,0,4214,29226,0,0,0,0
server_033,53,0,0,3397,32,48,0,16,62,0,650,2715,0,0,0,0
server_034,201,0,0,318,81,113,0,5661,33,1,244,78,0,0,0,0
server_035,18,0,0,39,8,19,0,5533,16,0,33,17,0,0,0,0
server_036,104,0,0,84,148,92,0,233,282,106,50,484,0,0,0,0
server_037,48,0,0,17,1,8,0,8,5,0,3,10,0,0,0,0
server_038,0,0,0,26,1,1,0,6,8,0,21,2,0,0,0,0
server_039,0,0,0,1,0,0,0,2,2,0,1,1,0,0,0,0
spec_gcc_001,124796,0,0,19631,29061,11934,0,6623,11179,132,7773,2784,0,0,0,0
spec_gcc_002,4430,0,0,1683,1398,1467,0,462,83,1,171,17,0,0,0,0
spec_gcc_003,4978,0,0,2062,1271,1502,0,673,106,1,234,21,0,0,0,0
spec_gobmk_001,2457,0,0,655,1158,559,0,552,711,89,107,434,0,0,0,0
spec_gobmk_002,1578,0,0,462,1175,326,0,433,940,160,80,471,0,0,0,0
spec_perlbench_001,3341,0,0,551,807,449,0,214,184,7,129,47,0,0,0,0
spec_x264_001,9,0,0,12,0,14,0,5,4,0,4,3,0,0,0,0
