Trace,hwc opt choose same type,hwc opt choose different type,opt not evict (hwc evict)
client_001,647,184,153
client_002,18047,4425,14937
client_003,31264,11579,11070
client_004,91654,44567,25597
client_005,32494,11372,11387
client_006,1302,851,747
client_007,5006,3074,2189
client_008,11590,4191,3652
server_001,9576,4314,10767
server_002,157,395,581
server_003,95347,47759,49704
server_004,77906,37080,68963
server_009,62121,23884,63263
server_010,61414,21012,72623
server_011,79045,41793,71845
server_012,65158,24756,71879
server_013,70126,30269,75497
server_014,777,501,1797
server_015,140,414,597
server_016,35515,15061,59271
server_017,222,128,353
server_018,223,177,351
server_019,260,167,362
server_020,281,142,361
server_021,229,139,387
server_022,269,178,387
server_023,46859,19587,82606
server_024,47863,19550,85217
server_025,47649,11654,101526
server_026,49591,12542,112845
server_027,51682,12942,112850
server_028,11892,5903,60512
server_029,11795,6212,62685
server_030,16054,6486,73657
server_031,11124,6940,64490
server_032,4386,6903,65077
server_033,754,95,6126
server_034,591,124,6033
server_035,69,23,5588
server_036,241,540,808
server_037,59,6,35
server_038,22,9,34
server_039,1,2,4
spec_gcc_001,144343,40440,29103
spec_gcc_002,6068,1482,2162
spec_gcc_003,6714,1378,2756
spec_gobmk_001,3090,1968,1624
spec_gobmk_002,2030,2271,1364
spec_perlbench_001,3953,1001,810
spec_x264_001,27,4,20
