Trace,not the same,0,1,2,3
client_001,464,0,0,352,0
client_002,18095,0,0,10231,0
client_003,20649,8,0,24153,0
client_004,72247,0,14,73885,0
client_005,23553,8,1,22530,0
client_006,2107,0,1,378,0
client_007,5557,1,0,3353,0
client_008,7418,3,0,8912,0
server_001,15273,0,0,4267,0
server_002,1106,30,0,38,0
server_003,99931,0,0,58608,0
server_004,108710,0,0,34326,0
server_009,94261,0,0,19769,0
server_010,99733,0,0,16125,0
server_011,122887,0,0,39485,0
server_012,106455,0,0,18872,0
server_013,114348,0,0,31303,0
server_014,2553,10,1,270,0
server_015,1128,31,0,39,0
server_016,70767,0,0,13562,0
server_017,356,0,0,32,0
server_018,392,0,0,27,0
server_019,419,0,0,33,0
server_020,400,0,0,39,0
server_021,386,0,0,29,0
server_022,456,0,0,33,0
server_023,102533,0,0,16684,0
server_024,104270,0,0,15582,0
server_025,95306,0,0,7074,0
server_026,102773,0,0,6270,0
server_027,106066,0,0,6012,0
server_028,44936,0,0,2201,0
server_029,44662,0,0,2376,0
server_030,54931,0,0,2672,0
server_031,44341,0,0,2297,0
server_032,43623,0,0,4,0
server_033,3525,0,0,23,0
server_034,3412,0,0,266,0
server_035,2877,0,0,5,0
server_036,1495,27,1,89,0
server_037,37,0,0,12,0
server_038,41,0,0,0,0
server_039,5,0,0,0,0
spec_gcc_001,73740,4,1,116415,0
spec_gcc_002,3026,0,0,5475,0
spec_gcc_003,3243,0,0,6140,0
spec_gobmk_001,3662,3,0,1780,0
spec_gobmk_002,3743,10,1,1141,0
spec_perlbench_001,1940,0,0,2475,0
spec_x264_001,37,0,0,0,0
