Trace,IPC,L1I Access,L1I Hit,L1I Miss,L1I MPKI,Branch MPKI
client_001,1.47482,2186319,1852303,334016,152.7755,9.95402
client_002,1.65061,4689134,4006375,682759,145.6045,7.5564
client_003,1.07701,3980992,3412301,568691,142.8516,5.28868
client_004,1.39715,2895720,2225368,670352,231.4975,15.9603
client_005,1.28872,5528802,4690667,838135,151.5943,8.02466
client_006,1.35397,2985732,2083035,902697,302.3369,10.3209
client_007,1.45822,2640729,1550017,1090712,413.0344,7.8842
client_008,1.4105,3812300,2828221,984079,258.1326,11.3011
server_001,1.40202,3903842,3217916,685926,175.7054,5.30384
server_002,1.37367,6978742,5485545,1493197,213.9636,4.02536
server_003,1.21533,3958216,2888233,1069983,270.3195,13.8295
server_004,0.948123,4724451,3461816,1262635,267.2554,9.62054
server_009,0.989176,4791521,3556911,1234610,257.6656,7.59874
server_010,1.15674,5145462,3770330,1375132,267.2514,7.58342
server_011,1.39686,5035235,3596602,1438633,285.7132,10.0205
server_012,1.49261,5627521,4048578,1578943,280.5752,7.60162
server_013,1.45342,5669125,4028002,1641123,289.4844,7.70614
server_014,1.38672,7284016,4531048,2752968,377.9465,4.13448
server_015,1.46566,7367309,4412021,2955288,401.1353,3.53704
server_016,1.56342,4968102,2391492,2576610,518.6307,6.67194
server_018,0.421318,5718930,2702654,3016276,527.4196,3.51596
server_019,0.402981,5094107,2390191,2703916,530.7929,5.1023
server_020,0.423121,5716816,2696632,3020184,528.2983,3.52062
server_021,0.427765,5815304,2760194,3055110,525.3569,2.98234
server_022,0.429005,5826333,2763719,3062614,525.6504,2.90958
server_023,1.38207,5828791,2850738,2978053,510.9212,7.93716
server_024,1.35454,5993742,2902184,3091558,515.7976,8.1217
server_025,1.34897,6322697,3307291,3015406,476.9177,8.5995
server_026,1.3099,6406174,3002990,3403184,531.235,8.78268
server_027,1.31076,6462916,3038695,3424221,529.826,8.87818
server_028,1.34089,6560989,3003987,3557002,542.1442,7.2102
server_029,1.33966,6580773,2985158,3595615,546.3819,7.20932
server_030,1.38667,6680394,3028698,3651696,546.6288,7.15016
server_031,1.32831,6771174,3072039,3699135,546.3063,7.5056
server_032,1.43083,7174490,3238507,3935983,548.6081,6.98712
server_033,1.56685,7052323,2969111,4083212,578.9882,6.75798
server_034,1.65974,7051630,2969055,4082575,578.9548,6.70464
server_035,1.2478,7054521,2950726,4103795,581.7255,6.51542
server_036,1.77953,7161635,2514161,4647474,648.9404,3.47994
server_037,1.73476,7739262,2803793,4935469,637.7183,3.33694
server_038,1.74098,7742705,2799616,4943089,638.4189,3.3039
server_039,1.6973,7503710,2452529,5051181,673.1578,3.99506
spec_gcc_001,1.4112,3799094,3474656,324438,85.3988,14.2395
spec_gcc_002,0.222785,2692596,1945664,746932,277.4022,5.71478
spec_gcc_003,0.245024,2937142,2014894,922248,313.995,5.33226
spec_gobmk_001,1.18847,3250258,2799132,451126,138.797,16.9338
spec_gobmk_002,1.28123,4623013,4029880,593133,128.3001,18.3118
spec_perlbench_001,1.58245,2984693,2534486,450207,150.8386,8.01662
spec_x264_001,2.94957,1046978,727177,319801,305.4515,3.69222
